Date,Open,High,Low,Close*,Adj Close**, Volume 
2018-12-19,23693.33,24057.34,23162.64,23323.66,23323.66,503550000
2018-12-18,23769.13,23927.77,23516.02,23675.64,23675.64,408070000
2018-12-17,23986.83,24088.08,23456.88,23592.98,23592.98,466740000
2018-12-14,24408.04,24431.14,24033.79,24100.51,24100.51,416940000
2018-12-13,24575.86,24740.96,24473.29,24597.38,24597.38,299970000
2018-12-12,24509.09,24828.29,24509.09,24527.27,24527.27,344330000
2018-12-11,24719.91,24791.26,24221.06,24370.24,24370.24,342960000
2018-12-10,24360.95,24500.81,23881.37,24423.26,24423.26,389690000
2018-12-07,24918.82,25095.62,24284.78,24388.95,24388.95,398230000
2018-12-06,24737.42,24951.01,24242.22,24947.67,24947.67,471690000
2018-12-04,25752.56,25773.12,25008.11,25027.07,25027.07,418900000
2018-12-03,25779.57,25980.21,25670.51,25826.43,25826.43,388480000
2018-11-30,25307.14,25549.71,25250.97,25538.46,25538.46,482250000
2018-11-29,25343.65,25479.04,25202.79,25338.84,25338.84,305110000
2018-11-28,24832.84,25368.93,24832.84,25366.43,25366.43,362160000
2018-11-27,24557.02,24750.73,24416.03,24748.73,24748.73,308250000
2018-11-26,24364.13,24673.29,24364.13,24640.24,24640.24,306280000
2018-11-23,24336.40,24408.80,24268.74,24285.95,24285.95,155940000
2018-11-21,24541.65,24669.79,24463.28,24464.69,24464.69,289370000
2018-11-20,24618.68,24707.26,24368.98,24465.64,24465.64,445920000
2018-11-19,25392.61,25392.61,24900.98,25017.44,25017.44,358090000
2018-11-16,25242.35,25510.23,25147.80,25413.22,25413.22,354460000
2018-11-15,25061.48,25354.56,24787.79,25289.27,25289.27,392750000
2018-11-14,25388.08,25501.29,24935.82,25080.50,25080.50,384240000
2018-11-13,25321.21,25511.03,25193.78,25286.49,25286.49,339690000
2018-11-12,25959.33,25966.71,25340.51,25387.18,25387.18,346910000
2018-11-09,26149.11,26161.49,25882.91,25989.30,25989.30,324450000
2018-11-08,26139.59,26277.82,26081.90,26191.22,26191.22,295650000
2018-11-07,25788.46,26200.14,25765.88,26180.30,26180.30,361780000
2018-11-06,25452.83,25651.86,25444.90,25635.01,25635.01,265450000
2018-11-05,25261.47,25507.35,25261.47,25461.70,25461.70,334740000
2018-11-02,25443.60,25578.98,25078.72,25270.83,25270.83,429480000
2018-11-01,25142.08,25396.47,25108.11,25380.74,25380.74,383970000
2018-10-31,25008.82,25336.55,25008.82,25115.76,25115.76,448930000
2018-10-30,24482.04,24906.68,24415.69,24874.64,24874.64,470050000
2018-10-29,24818.98,25040.58,24122.23,24442.92,24442.92,443850000
2018-10-26,24770.25,24916.16,24445.19,24688.31,24688.31,505310000
2018-10-25,24736.54,25104.29,24645.56,24984.55,24984.55,439670000
2018-10-24,25172.88,25306.23,24533.19,24583.42,24583.42,496400000
2018-10-23,25038.46,25307.70,24768.79,25191.43,25191.43,436430000
2018-10-22,25492.14,25561.34,25236.05,25317.41,25317.41,314940000
2018-10-19,25421.09,25608.71,25350.02,25444.34,25444.34,350810000
2018-10-18,25645.56,25691.46,25236.01,25379.45,25379.45,328020000
2018-10-17,25705.87,25810.09,25479.16,25706.68,25706.68,298210000
2018-10-16,25351.53,25817.68,25351.53,25798.42,25798.42,305800000
2018-10-15,25332.46,25482.42,25243.88,25250.55,25250.55,287320000
2018-10-12,25407.63,25467.55,25000.83,25339.99,25339.99,397510000
2018-10-11,25518.39,25683.64,24899.77,25052.83,25052.83,522880000
2018-10-10,26441.73,26487.87,25567.10,25598.74,25598.74,438200000
2018-10-09,26469.19,26539.94,26324.16,26430.57,26430.57,282560000
2018-10-08,26399.45,26529.35,26223.09,26486.78,26486.78,273020000
2018-10-05,26632.77,26676.16,26301.81,26447.05,26447.05,267100000
2018-10-04,26784.08,26793.82,26471.61,26627.48,26627.48,289600000
